Rally,Rotation,Stage,Action Type,Action,win_lose
1,1,serve,in_rally,1-Serve,L
1,1,serve,earned,Spike,L
2,1,receive,errors,Whose Ball?,L
3,1,receive,in_rally,3-Pass,L
3,1,receive,errors,Spike,L
4,1,receive,in_rally,3-Pass,L
4,1,receive,earned,Spike,L
5,2,serve,errors,Serve,L
6,2,receive,in_rally,2-Pass,L
7,2,receive,in_rally,Hit Still In Play,L
8,2,receive,in_rally,3-FB Pass,L
8,2,receive,earned,Spike,L
9,3,serve,earned,Ace,L
10,3,serve,in_rally,3-Serve,L
10,3,serve,earned,Tip,L
11,3,receive,in_rally,3-Pass,L
11,3,receive,earned,Block,L
12,3,receive,in_rally,1-Pass,L
12,3,receive,errors,Spike,L
13,3,receive,in_rally,3-Pass,L
14,3,receive,in_rally,Hit Still In Play,L
15,3,receive,in_rally,Dig,L
16,3,receive,in_rally,Hit Still In Play,L
16,3,receive,errors,Dig,L
17,3,receive,errors,Receive,L
18,3,receive,in_rally,1-Pass,L
19,3,receive,in_rally,Hit Still In Play,L
19,3,receive,errors,Spike,L
20,4,serve,in_rally,2-Serve,L
21,4,serve,in_rally,Dig,L
21,4,serve,errors,Spike,L
22,4,receive,errors,Serve,L
23,5,serve,in_rally,3-Serve,L
23,5,serve,errors,Whose Ball?,L
24,5,receive,errors,Serve,L
25,6,serve,earned,Ace,L
26,6,serve,errors,Serve,L
27,6,receive,in_rally,2-Pass,L
27,6,receive,faults,Net,L
28,6,receive,errors,Serve,L
29,1,serve,in_rally,2-Serve,L
29,1,serve,faults,Net,L
30,1,serve,in_rally,2-Serve,L
30,1,serve,earned,Spike,L
31,1,serve,in_rally,1-Serve,L
31,1,serve,earned,Block,L
32,1,serve,earned,Ace,L
33,1,serve,in_rally,3-Serve,L
34,1,serve,in_rally,3-FB Pass,L
34,1,serve,errors,Spike,L
35,1,receive,in_rally,3-Pass,L
35,1,receive,earned,Tip,L
36,2,serve,earned,Ace,L
37,2,serve,errors,Serve,L
38,2,receive,errors,Receive,L
39,2,receive,errors,Receive,L
40,2,receive,in_rally,2-Pass,L
41,2,receive,in_rally,Hit Still In Play,L
42,2,receive,in_rally,Dig,L
42,2,receive,earned,Spike,L
43,3,serve,in_rally,2-Serve,L
44,3,serve,in_rally,Dig,L
44,3,serve,errors,Spike,L
45,3,receive,in_rally,1-Pass,L
46,3,receive,in_rally,Hit Still In Play,L
47,3,receive,in_rally,Hit Still In Play,L
47,3,receive,earned,Spike,L
48,3,receive,in_rally,1-Pass,L
49,3,receive,in_rally,Hit Still In Play,L
49,3,receive,errors,Spike,L
50,4,serve,in_rally,2-Serve,L
51,4,serve,in_rally,Dig,L
51,4,serve,earned,Spike,L
52,4,serve,in_rally,1-Serve,L
52,4,serve,earned,Spike,L
53,4,serve,errors,Serve,L
54,4,receive,errors,Receive,L
55,4,receive,in_rally,1-Pass,L
56,4,receive,in_rally,Hit Still In Play,L
56,4,receive,errors,3rd Ball Return,L
57,5,serve,in_rally,2-Serve,L
