,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,in_rally,1-Serve,none,0 -- 0
1,1,serve,earned,Spike,them,0 -- 1
2,1,receive,errors,Whose Ball?,them,0 -- 2
3,1,receive,in_rally,3-Pass,none,0 -- 2
3,1,receive,errors,Spike,them,0 -- 3
4,1,receive,in_rally,3-Pass,none,0 -- 3
4,1,receive,earned,Spike,us,1 -- 3
5,2,serve,errors,Serve,them,1 -- 4
6,2,receive,in_rally,2-Pass,none,1 -- 4
7,2,receive,in_rally,Hit Still In Play,none,1 -- 4
8,2,receive,in_rally,3-FB Pass,none,1 -- 4
8,2,receive,earned,Spike,us,2 -- 4
9,3,serve,earned,Ace,us,3 -- 4
10,3,serve,in_rally,3-Serve,none,3 -- 4
10,3,serve,earned,Tip,them,3 -- 5
11,3,receive,in_rally,3-Pass,none,3 -- 5
11,3,receive,earned,Block,them,3 -- 6
12,3,receive,in_rally,1-Pass,none,3 -- 6
12,3,receive,errors,Spike,them,3 -- 7
13,3,receive,in_rally,3-Pass,none,3 -- 7
14,3,receive,in_rally,Hit Still In Play,none,3 -- 7
15,3,receive,in_rally,Dig,none,3 -- 7
16,3,receive,in_rally,Hit Still In Play,none,3 -- 7
16,3,receive,errors,Dig,them,3 -- 8
17,3,receive,errors,Receive,them,3 -- 9
18,3,receive,in_rally,1-Pass,none,3 -- 9
19,3,receive,in_rally,Hit Still In Play,none,3 -- 9
19,3,receive,errors,Spike,us,4 -- 9
20,4,serve,in_rally,2-Serve,none,4 -- 9
21,4,serve,in_rally,Dig,none,4 -- 9
21,4,serve,errors,Spike,them,4 -- 10
22,4,receive,errors,Serve,us,5 -- 10
23,5,serve,in_rally,3-Serve,none,5 -- 10
23,5,serve,errors,Whose Ball?,them,5 -- 11
24,5,receive,errors,Serve,us,6 -- 11
25,6,serve,earned,Ace,us,7 -- 11
26,6,serve,errors,Serve,them,7 -- 12
27,6,receive,in_rally,2-Pass,none,7 -- 12
27,6,receive,faults,Net,them,7 -- 13
28,6,receive,errors,Serve,us,8 -- 13
29,1,serve,in_rally,2-Serve,none,8 -- 13
29,1,serve,faults,Net,us,9 -- 13
30,1,serve,in_rally,2-Serve,none,9 -- 13
30,1,serve,earned,Spike,us,10 -- 13
31,1,serve,in_rally,1-Serve,none,10 -- 13
31,1,serve,earned,Block,us,11 -- 13
32,1,serve,earned,Ace,us,12 -- 13
33,1,serve,in_rally,3-Serve,none,12 -- 13
34,1,serve,in_rally,3-FB Pass,none,12 -- 13
34,1,serve,errors,Spike,them,12 -- 14
35,1,receive,in_rally,3-Pass,none,12 -- 14
35,1,receive,earned,Tip,us,13 -- 14
36,2,serve,earned,Ace,us,14 -- 14
37,2,serve,errors,Serve,them,14 -- 15
38,2,receive,errors,Receive,them,14 -- 16
39,2,receive,errors,Receive,them,14 -- 17
40,2,receive,in_rally,2-Pass,none,14 -- 17
41,2,receive,in_rally,Hit Still In Play,none,14 -- 17
42,2,receive,in_rally,Dig,none,14 -- 17
42,2,receive,earned,Spike,us,15 -- 17
43,3,serve,in_rally,2-Serve,none,15 -- 17
44,3,serve,in_rally,Dig,none,15 -- 17
44,3,serve,errors,Spike,them,15 -- 18
45,3,receive,in_rally,1-Pass,none,15 -- 18
46,3,receive,in_rally,Hit Still In Play,none,15 -- 18
47,3,receive,in_rally,Hit Still In Play,none,15 -- 18
47,3,receive,earned,Spike,them,15 -- 19
48,3,receive,in_rally,1-Pass,none,15 -- 19
49,3,receive,in_rally,Hit Still In Play,none,15 -- 19
49,3,receive,errors,Spike,us,16 -- 19
50,4,serve,in_rally,2-Serve,none,16 -- 19
51,4,serve,in_rally,Dig,none,16 -- 19
51,4,serve,earned,Spike,us,17 -- 19
52,4,serve,in_rally,1-Serve,none,17 -- 19
52,4,serve,earned,Spike,us,18 -- 19
53,4,serve,errors,Serve,them,18 -- 20
54,4,receive,errors,Receive,them,18 -- 21
55,4,receive,in_rally,1-Pass,none,18 -- 21
56,4,receive,in_rally,Hit Still In Play,none,18 -- 21
56,4,receive,errors,3rd Ball Return,us,19 -- 21
57,5,serve,in_rally,2-Serve,none,19 -- 21
58,5,serve,in_rally,Dig,none,19 -- 21
59,5,serve,in_rally,Hit Still In Play,none,19 -- 21
60,5,serve,in_rally,Dig,none,19 -- 21
60,5,serve,earned,Spike,us,20 -- 21
61,5,serve,in_rally,2-Serve,none,20 -- 21
62,5,serve,in_rally,Dig,none,20 -- 21
63,5,serve,in_rally,Hit Still In Play,none,20 -- 21
64,5,serve,in_rally,Dig,none,20 -- 21
64,5,serve,errors,Spike,them,20 -- 22
65,5,receive,in_rally,1-Pass,none,20 -- 22
65,5,receive,errors,Set,them,20 -- 23
undefined,5,receive,timeout,us 1,undefined,undefined
66,5,receive,in_rally,3-Pass,none,20 -- 23
66,5,receive,errors,Spike,them,20 -- 24
67,5,receive,errors,Serve,us,21 -- 24
68,6,serve,in_rally,1-Serve,none,21 -- 24
68,6,serve,earned,Block,us,22 -- 24
69,6,serve,in_rally,2-Serve,none,22 -- 24
70,6,serve,in_rally,Dig,none,22 -- 24
70,6,serve,errors,Tip,them,22 -- 25
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,3-Pass,none,0 -- 0
1,6,receive,earned,Spike,us,1 -- 0
2,1,serve,in_rally,2-Serve,none,1 -- 0
2,1,serve,faults,Net,them,1 -- 1
3,1,receive,errors,Receive,them,1 -- 2
4,1,receive,in_rally,1-Pass,none,1 -- 2
4,1,receive,errors,Dig,them,1 -- 3
5,1,receive,errors,Receive,them,1 -- 4
6,1,receive,errors,Receive,them,1 -- 5
7,1,receive,errors,Serve,us,2 -- 5
8,2,serve,in_rally,3-Serve,none,2 -- 5
9,2,serve,in_rally,1-FB Pass,none,2 -- 5
9,2,serve,errors,Spike,them,2 -- 6
10,2,receive,in_rally,3-Pass,none,2 -- 6
11,2,receive,in_rally,Hit Still In Play,none,2 -- 6
11,2,receive,errors,Set,us,3 -- 6
12,3,serve,in_rally,3-Serve,none,3 -- 6
12,3,serve,earned,Spike,them,3 -- 7
13,3,receive,in_rally,1-Pass,none,3 -- 7
13,3,receive,errors,Spike,them,3 -- 8
14,3,receive,errors,Serve,us,4 -- 8
15,4,serve,in_rally,3-Serve,none,4 -- 8
16,4,serve,in_rally,Dig,none,4 -- 8
17,4,serve,in_rally,Hit Still In Play,none,4 -- 8
17,4,serve,errors,3rd Ball Return,them,4 -- 9
18,4,receive,in_rally,3-Pass,none,4 -- 9
19,4,receive,in_rally,Hit Still In Play,none,4 -- 9
20,4,receive,in_rally,Dig,none,4 -- 9
20,4,receive,errors,3rd Ball Return,them,4 -- 10
21,4,receive,in_rally,3-Pass,none,4 -- 10
21,4,receive,errors,Spike,them,4 -- 11
22,4,receive,in_rally,2-Pass,none,4 -- 11
23,4,receive,in_rally,Hit Still In Play,none,4 -- 11
23,4,receive,errors,3rd Ball Return,us,5 -- 11
24,5,serve,in_rally,3-Serve,none,5 -- 11
24,5,serve,errors,Dig,them,5 -- 12
25,5,receive,errors,Serve,us,6 -- 12
26,6,serve,errors,Serve,them,6 -- 13
27,6,receive,in_rally,3-Pass,none,6 -- 13
